Bureau,Gender,Grade,Title,Name,YearsService
Global Youth Issues (GYI),male,N/A,Team Member,   Bill Herman,19
Chief Information Officer (CIO),male,FS-2,Manager,     Jose Howell,5
Energy Resources (ENR),male,N/A,Team Member,  Joseph Woodie   ,13
Political-Military Affairs (PM),male,GS-7,Team Member,Solomon Hartley ,23
Global AIDS Coordinator (S/GAC),female,N/A,Manager,Audrey Woodard    ,16
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,  Alkire ,13
Inspector General (OIG),male,GS-8,Team Member,Marcus Merino,3
Global Youth Issues (GYI),female,FS-2,Manager, Lisa Dalton,15
Conflict and Stabilization Operations (CSO),female,GS-9,Team Member,Farias,25
Oceans and International Environmental and Scientific Affairs(OES),male,N/A,Team Member,Benjamin Cochran,6
Conflict and Stabilization Operations (CSO),female,SES-5,Executive,Faith Bruff,19
Budget and Planning (BP),female,FS-2,Mgmt,Rhonda Lee,3
Energy Resources (ENR),male,GS-13,Manager,Walter Yu  ,2
International Information Programs (IIP),female,N/A,Manager,Janet Thomas,21
Chief Information Officer (CIO),male,FS-8,Team Member,Daniel Draper ,11
Comptroller and Global Financial Services (CGFS),male,GS-8,Team Member,Darryl Strunk   ,7
International Information Programs (IIP),male,N/A,Team Member,James Mena    ,17
Chief Information Officer (CIO),female,N/A,Team Member,Mary Ritter  ,21
Medical Services (MED),male,FS-4,Team Member,Robert Patterson,22
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-13,Team Member, Christian Alm,17
Legislative Affairs (H),female,SFS-3,Executive,Christy Roberts,22
Energy Resources (ENR),male,GS-13,Manager,Michael Forshay,14
"Population, Refugees, and Migration (PRM)",male,FS-2,Manager,Travis Levin,5
Administration (A),female,FS-7,Analyst,Candice Kaplan,13
Administration (A),male,FS 6,Team Member,Richard Chapman,21
Science & Technology Adviser (STAS),male,N/A,Team Member,    Daniel Curtis    ,10
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,Shirley Wilson,12
Legal Adviser (L),male,GS-13,Team Member,   Crimmins,5
Economic and Business Affairs (EB),female,GS-7,Team Member,Mildred Pamintuan,10
International Information Programs (IIP),male,FS-3,Manager,     Peter Slevin   ,10
Chief Information Officer (CIO),female,N/A,Team Member,   Brittany Sullivan,10
Human Resources (DGHR),female,N/A,Team Member,Vivian Stanick,17
Administration (A),female,FS 6,Team Member,Tamiko Alexander,13
Administration (A),female,GS-11,Team Member,Tara Rodriguez,11
East Asian and Pacific Affairs (EAP),female,N/A,Team Member,Darnell,11
Energy Resources (ENR),male,GS-11,Team Member,Eric Unger,4
Protocol (S/CPR),female,N/A,Team Member,Katherine Lembrick    ,16
Administration (A),female,GS-12,Team Member,Sara Conrad,15
Conflict and Stabilization Operations (CSO),male,FS-1,Manager,Robert Funderburg,22
European and Eurasian Affairs (EUR),male,GS-15,Manager,Charles Alley,24
Diplomatic Security (DS),male,FS-8,Analyst,   Brown   ,10
International Information Programs (IIP),male,GS-14,Manager,   Robert Matlock,23
Legislative Affairs (H),female,N/A,Team Member,  Paige Lomax     ,20
Inspector General (OIG),male,GS 13,Team Member,Dathe     ,9
Executive Secretariat (S/ES),male,FS-6,Team Member,Wilkie,23
Comptroller and Global Financial Services (CGFS),female,FS-3,Manager,     Rutter ,3
"Management Policy, Rightsizing and Innovation (PRI)",female,SFS-5,Executive,Terry Martinez,19
Science & Technology Adviser (STAS),female,GS-10,Team Member,Jennifer Henry,25
International Information Programs (IIP),female,GS-9,Team Member,Rosa Greene,8
Legislative Affairs (H),female,FS-3,Manager,Catherine Smith,8
European and Eurasian Affairs (EUR),male,FS-2,Manager,Robert Roode  ,16
Chief Information Officer (CIO),female,N/A,Manager,Barbara Himes,23
Diplomatic Security (DS),female,N/A,Team Member,     Jo Hanson ,17
Mission to the United Nations (USUN),male,FS-8,Team Member,Richard Galloway    ,15
Quadrennial Diplomacy and Development Review (QDDR),male,FS-2,Manager,Dale Washington,13
Legislative Affairs (H),male,FS-3,Manager,  Jose Deblois,6
Mission to the United Nations (USUN),female,FS-5,Team Member,   Helen Marley,13
Oceans and International Environmental and Scientific Affairs(OES),male,FS-7,Team Member,Bradley Evans,7
Administration (A),male,GS 13,Team Member,Thomas Whitaker,16
Policy Planning Staff (S/P),male,FS6,Team Member,  David Best,5
Policy Planning Staff (S/P),male,GS-15,Manager,Casey Gear,10
Energy Resources (ENR),male,FS-4,Team Member,     Pablo Wlodarek   ,7
Budget and Planning (BP),male,GS-15,Manager,William Conley   ,23
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Manager,Ebony Mccarthy,22
Global Criminal Justice (GCJ),female,FS-2,Manager,Betty Mccoy,25
Legislative Affairs (H),male,GS-13,Manager,Alan Stearns,9
Information Resource Management (IRM),male,N/A,Team Member,Larry Castro    ,6
Political-Military Affairs (PM),male,N/A,Analyst,     David Mccarville,17
Global Youth Issues (GYI),male,N/A,Team Member,Gary Jefferies,22
Trafficking in Persons (TIP),female,FS-2,Manager,  Margret Dora  ,8
Western Hemisphere Affairs (WHA),male,FS-9,Team Member,Brain Hough   ,11
Conflict and Stabilization Operations (CSO),female,SES-1,Executive,   Diana Trumbo,25
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Manager,Roy Clifton,13
Counterterrorism (CT),female,FS-7,Team Member,Sally Mullins    ,24
African Affairs (AF),female,GS14,Manager,Helen Elmer,3
Educational and Cultural Affairs (ECA),male,N/A,Team Member,     Kenneth Funderburke     ,17
Legal Adviser (L),male,GS12,Team Member,  Dever,7
International Security and Nonproliferation (ISN),male,FS-4,Team Member,Rodolfo Martinez   ,21
Allowances (A/OPR/ALS),male,FS2,Manager,Edgardo Lesage,25
Science & Technology Adviser (STAS),female,FS-3,Manager,Kelly,9
Legislative Affairs (H),male,N/A,Manager, Steven Phillips,13
International Information Programs (IIP),female,GS 9,Team Member,    Ebony Keshishian,7
Public Affairs (PA),male,FS-2,Manager,Bell,16
South and Central Asian Affairs (SCA),male,N/A,Team Member,Juan Shultz,14
Legislative Affairs (H),female,GS-9,Analyst,Megan Walsh,8
International Security and Nonproliferation (ISN),male,FS-1,Mgmt,    Andrew Page    ,21
Science & Technology Adviser (STAS),male,GS-15,Manager, Henry Lutz  ,6
Global AIDS Coordinator (S/GAC),female,FS2,Manager,    Regina Hanks,19
Global Youth Issues (GYI),male,N/A,Manager,Scott Abruzzino,19
Legislative Affairs (H),male,FS-7,Team Member,White,25
Oceans and International Environmental and Scientific Affairs(OES),male,FS-2,Manager,     Armand Davis  ,14
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Manager,   Gerald Dilley     ,23
Administration (A),male,N/A,Team Member,Knarr  ,10
Science & Technology Adviser (STAS),female,GS-15,Manager,Caine,4
Trafficking in Persons (TIP),female,FS8,Team Member,     Jewel Gonzalez,11
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Manager,Lorraine Papineau,3
Policy Planning Staff (S/P),male,GS-7,Team Member,Donald Howe,5
International Organization Affairs (IO),male,FS-5,Team Member,Joseph Batchelder,10
Inspector General (OIG),female,FS-8,Team Member,Terica Kriner  ,15
Medical Services (MED),female,N/A,Analyst, Joanne Kremen,5
Policy Planning Staff (S/P),male,N/A,Manager,     Michael Hodge,3
Mission to the United Nations (USUN),female,FS-8,Team Member,Augusta Frappier ,16
Science & Technology Adviser (STAS),female,FS-6,Team Member,Jo Martin  ,4
Administration (A),male,FS-8,Team Member,Bert Ramirez  ,8
Medical Services (MED),male,N/A,Team Member,William Burgess,8
Foreign Assistance (F),female,N/A,Analyst,Margaret Carrier,23
Foreign Missions (OFM),male,FS-7,Analyst,John Bachtold,8
Chief Information Officer (CIO),female,GS-13,Analyst,     Chau Proctor,21
Trafficking in Persons (TIP),female,FS-1,Manager,Ida Verkamp,10
International Narcotics and Law Enforcement Affairs (INL),male,FS 6,Team Member,Joey Gonzalez,1
European and Eurasian Affairs (EUR),female,FS-4,Analyst,Robin Small     ,25
"Democracy, Human Rights, and Labor (DRL)",male,FS-7,Team Member,Robert Garcia,8
Inspector General (OIG),female,FS9,Team Member,    Louise Thompson,10
Comptroller and Global Financial Services (CGFS),female,FS-4,Team Member,    Patricia Wood   ,2
Intelligence and Research (INR),male,FS-5,Team Member,Lonnie Marks,12
Global Youth Issues (GYI),female,N/A,Manager,Marisela Gregoire,8
Foreign Missions (OFM),female,FS-3,Manager,  Deborah Przygocki    ,14
Global Youth Issues (GYI),female,GS15,Manager,Mary Stockton    ,19
Conflict and Stabilization Operations (CSO),female,GS-13,Team Member,Pamela Carter     ,18
Medical Services (MED),female,GS-10,Analyst,Michelle Dietz,16
Comptroller and Global Financial Services (CGFS),female,GS-11,Team Member,Verna Niss,10
Science & Technology Adviser (STAS),female,FS3,Manager,    Samantha Davis,17
Oceans and International Environmental and Scientific Affairs(OES),female,FS-8,Team Member,Ada Shields   ,8
Foreign Missions (OFM),male,GS-9,Team Member, Rafael Mallow,11
Administration (A),female,N/A,Manager,Michele Anderson,18
Conflict and Stabilization Operations (CSO),male,FS-8,Team Member,  Harold Long,15
Energy Resources (ENR),female,N/A,Manager, Linda Balistrieri,25
Global Criminal Justice (GCJ),male,GS-15,Manager,Lee Kleck,13
Protocol (S/CPR),female,N/A,Team Member, Annie Lucas,17
Foreign Assistance (F),female,FS-2,Manager,Epifania Edwards,12
Allowances (A/OPR/ALS),female,FS-9,Team Member,     Jacquelyn Nerbonne   ,13
Trafficking in Persons (TIP),male,N/A,Manager,Long,25
Mission to the United Nations (USUN),female,FS-3,Mgmt, Flores,16
Economic and Business Affairs (EB),male,FS-8,Team Member,     Chad Manuelito,4
Counterterrorism (CT),female,FS-4,Team Member,Kristine Richard,2
International Information Programs (IIP),male,FS-6,Team Member,     Modesto Crate,6
Oceans and International Environmental and Scientific Affairs(OES),female,GS13,Team Member,  Josephine Hawkinson   ,10
Energy Resources (ENR),female,FS-3,Manager,    Erica Moore,25
Medical Services (MED),male,FS5,Team Member,Robert Jones   ,23
Political-Military Affairs (PM),female,FS7,Team Member,Tamara Gonzales,3
Chief Information Officer (CIO),male,FS-2,Manager,     Floyd Swisher,22
Political-Military Affairs (PM),female,GS-14,Manager,Wagner ,17
"Democracy, Human Rights, and Labor (DRL)",male,GS-10,Team Member,Burks,15
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-1,Manager,Roberto Ruthstrom,22
Diplomatic Security (DS),female,FS-9,Team Member,Roxie Sherrill   ,7
Medical Services (MED),female,FS-5,Team Member,Julie Sisson,13
"Democracy, Human Rights, and Labor (DRL)",female,FS-5,Team Member,    Billie Lowe,7
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Team Member,Juanita Lara ,1
Legal Adviser (L),male,GS-13,Manager,    Simon Heidinger     ,20
Mission to the United Nations (USUN),female,N/A,Manager,   Karen Douglas    ,17
Administration (A),male,SFS 5,Executive,William Rank,18
Trafficking in Persons (TIP),female,FS-5,Team Member,Lorraine Zanola     ,22
Budget and Planning (BP),female,FS-5,Analyst, Annie Huff     ,6
Global Engagement Center(GEC),female,N/A,Mgmt,  Ann Mooring,12
Intelligence and Research (INR),female,GS-14,Manager,Joy Ligon,8
Allowances (A/OPR/ALS),male,FS-9,Team Member,Goddard    ,17
Protocol (S/CPR),male,FS-3,Manager,James Guardipee,25
Mission to the United Nations (USUN),male,FS-1,Manager,Rick James,16
Administration (A),male,GS-13,Team Member,     John Fagan  ,3
International Organization Affairs (IO),female,N/A,Team Member,Ashlee Clay,3
"Arms Control, Verification and Compliance (AVC)",female,FS-9,Team Member,Chana Caswell ,3
Foreign Missions (OFM),female,FS-3,Manager,Kelli Yono,14
Quadrennial Diplomacy and Development Review (QDDR),male,GS-13,Manager,Charles Adams   ,25
Counterterrorism (CT),female,GS10,Team Member,Stephanie Schmitt  ,21
Chief Information Officer (CIO),female,GS-15,Manager,    Harris     ,17
Energy Resources (ENR),male,FS-1,Manager,Salerno,15
Oceans and International Environmental and Scientific Affairs(OES),female,SES-4,Executive,Cynthia Magee,23
International Organization Affairs (IO),male,FS1,Manager,Stamm,7
Conflict and Stabilization Operations (CSO),female,N/A,Analyst,  Myra Miller,7
Foreign Missions (OFM),male,FS-5,Team Member,Jorge Pacheco,11
Foreign Missions (OFM),female,FS-3,Mgmt,     Doris Mayweather  ,5
Administration (A),male,GS-10,Team Member, Tyrone Zimmerman,2
Intelligence and Research (INR),female,N/A,Manager,    Charity Higgins  ,22
Energy Resources (ENR),male,GS-13,Team Member,David Johnson ,12
Foreign Missions (OFM),female,N/A,Team Member, Shawn Gillenwaters   ,7
Allowances (A/OPR/ALS),male,N/A,Team Member,Steven Mccan     ,13
Global Youth Issues (GYI),male,FS-3,Manager, Michael Atkinson,22
Administration (A),female,GS-10,Team Member,Lila Hudson,17
East Asian and Pacific Affairs (EAP),male,FS-6,Team Member,Tim Stout,3
Policy Planning Staff (S/P),female,FS3,Manager,Cheryl Pierce    ,10
East Asian and Pacific Affairs (EAP),male,FS-3,Manager,Nicholas Richardson ,9
Legislative Affairs (H),female,GS-15,Manager,    Patricia Phelps  ,12
Comptroller and Global Financial Services (CGFS),female,GS-11,Team Member,     Cecilia Beck ,23
"Democracy, Human Rights, and Labor (DRL)",male,FS 8,Team Member,Aaron Butler,21
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Manager,Christine Dyer   ,15
Inspector General (OIG),female,GS-13,Team Member,Constance Baum,9
Science & Technology Adviser (STAS),female,FS-8,Team Member,Emily James,13
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-13,Manager,Phyllis Holland,13
Legislative Affairs (H),female,SFS-4,Executive,Barbara Rios,23
Policy Planning Staff (S/P),male,GS-9,Team Member,Roy Stewart,7
Science & Technology Adviser (STAS),female,GS-10,Team Member,Akiko Woolbright,8
South and Central Asian Affairs (SCA),female,N/A,Manager,Linda Wilson,16
Legislative Affairs (H),male,GS-8,Analyst,     Brian Berry   ,6
Trafficking in Persons (TIP),male,SFS-3,Executive,Richard Hearn,19
Administration (A),male,SFS-4,Executive,  Ernest Fawbush    ,18
International Narcotics and Law Enforcement Affairs (INL),male,N/A,Team Member,Edwin Muney,24
Budget and Planning (BP),male,GS-8,Team Member,Edward Scott,17
Oceans and International Environmental and Scientific Affairs(OES),female,GS-14,Manager,Frances Corbett,11
Intelligence and Research (INR),female,GS-15,Manager,Doris Stanislawski,20
Trafficking in Persons (TIP),female,GS-7,Team Member,Korpal,14
International Organization Affairs (IO),male,GS 9,Team Member,Kelly,14
Counterterrorism (CT),female,GS 13,Team Member,Nancy Peterson,11
Consular Affairs (CA),female,FS 4,Team Member,Jamie Johnson     ,2
Foreign Missions (OFM),male,SFS1,Executive, Willie Robinson,20
East Asian and Pacific Affairs (EAP),female,GS-15,Manager,Grace Gochenour,8
Inspector General (OIG),female,GS-15,Manager,Katherine Leaming ,25
Energy Resources (ENR),male,FS-2,Mgmt, Thomas Cain,8
International Information Programs (IIP),female,N/A,Team Member,Darcey Minert,3
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS1,Manager,Paul Miles,24
Protocol (S/CPR),male,FS-7,Team Member,Pierre Cotton ,6
Educational and Cultural Affairs (ECA),male,GS-10,Team Member,George Heuer,19
Economic and Business Affairs (EB),male,FS-9,Team Member,Robert Harbach,20
International Organization Affairs (IO),female,GS-9,Team Member,Mary Farnsworth,25
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Team Member,Stephen Parker   ,14
Comptroller and Global Financial Services (CGFS),male,GS-13,Manager,Donald Bradley,8
Chief Information Officer (CIO),female,SES-5,Executive,  Agnes Allen,23
"Democracy, Human Rights, and Labor (DRL)",male,GS-13,Team Member,Melvin Duke,13
Protocol (S/CPR),female,FS-2,Manager,Mildred Ramirez,3
Protocol (S/CPR),female,FS-2,Manager,     Guzman,24
International Security and Nonproliferation (ISN),female,FS1,Manager,     Agnes Seitz,1
Conflict and Stabilization Operations (CSO),female,FS 5,Team Member,   Madison Nolan  ,23
Medical Services (MED),female,N/A,Team Member,   Joanne Parker  ,12
East Asian and Pacific Affairs (EAP),male,N/A,Manager,     Jose Conner,10
European and Eurasian Affairs (EUR),male,N/A,Manager,Melvin Berlinski ,6
Foreign Missions (OFM),male,N/A,Manager,Thomas     ,22
Legal Adviser (L),female,FS-2,Manager,Elizabeth Anderson,8
Consular Affairs (CA),male,FS-7,Team Member,    Orton ,8
Oceans and International Environmental and Scientific Affairs(OES),male,FS-2,Mgmt, Kevin Viray,15
European and Eurasian Affairs (EUR),female,FS-2,Manager,Misiaszek     ,17
Global Youth Issues (GYI),male,FS 2,Manager,Robert Cruz ,6
East Asian and Pacific Affairs (EAP),male,GS-10,Team Member,Steven Winnett,20
Policy Planning Staff (S/P),female,GS-7,Team Member,    Eunice Bishop     ,24
Administration (A),female,GS-9,Team Member,   Angela Berry,1
Energy Resources (ENR),male,GS-7,Team Member,Joel Stutzman ,8
Western Hemisphere Affairs (WHA),male,GS-11,Team Member,Lee Green,25
Foreign Service Institute (FSI),male,N/A,Team Member,   Steve Isaac     ,6
International Security and Nonproliferation (ISN),female,FS-7,Team Member,Tonya Hite,23
Protocol (S/CPR),female,FS-5,Team Member,     Ann Bush,3
Comptroller and Global Financial Services (CGFS),male,FS-8,Team Member,Jeffrey Sevillano,17
Allowances (A/OPR/ALS),female,FS6,Team Member,Blanca Stone,25
Foreign Missions (OFM),female,N/A,Team Member,     Ruth Walker  ,19
"Management Policy, Rightsizing and Innovation (PRI)",male,N/A,Team Member,David Royster,1
Trafficking in Persons (TIP),male,GS-13,Manager,Edwin Heiser   ,4
Foreign Assistance (F),male,GS-8,Analyst,Walter Hoium,1
Budget and Planning (BP),female,FS-2,Manager,Sonia Ratcliff  ,19
International Organization Affairs (IO),male,FS9,Team Member,Maurice Trahan     ,11
"Democracy, Human Rights, and Labor (DRL)",male,GS-12,Team Member,Todd Clark,11
Consular Affairs (CA),male,FS-1,Manager,Larry Conner,4
Legislative Affairs (H),male,N/A,Team Member,Tad Huntzinger   ,13
Foreign Missions (OFM),male,GS-14,Manager,    Richard Parson,9
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-15,Manager,David Hernandez,10
Legislative Affairs (H),male,FS-8,Team Member,Clifford Johnson,24
Western Hemisphere Affairs (WHA),female,FS 5,Team Member,Joachim,23
International Organization Affairs (IO),female,FS3,Manager,Pamela Lynch    ,9
Diplomatic Security (DS),female,SFS-2,Executive,Jean Clukey   ,20
Global Youth Issues (GYI),female,FS-3,Manager,Vivian Burris,23
Science & Technology Adviser (STAS),female,GS-13,Manager,Rose Calderon  ,17
Conflict and Stabilization Operations (CSO),male,FS-2,Manager,James Hotton  ,18
International Organization Affairs (IO),female,FS1,Mgmt,Warren,8
Science & Technology Adviser (STAS),female,FS-8,Team Member,    Theda Cook ,11
"Democracy, Human Rights, and Labor (DRL)",male,FS5,Team Member, Billy Garcia,14
International Organization Affairs (IO),female,FS-8,Team Member,Judy Rangel  ,17
Mission to the United Nations (USUN),female,FS2,Manager,Elizabeth Hall,25
Administration (A),male,FS-9,Team Member,Alfred Williams ,9
Comptroller and Global Financial Services (CGFS),female,FS-7,Team Member,Sandra Haas,15
Intelligence and Research (INR),male,FS-1,Manager,Baghdasarian ,4
Medical Services (MED),male,N/A,Team Member, Adam Crump,11
East Asian and Pacific Affairs (EAP),male,N/A,Team Member,Beard,17
Science & Technology Adviser (STAS),male,FS 8,Team Member,Allen Tovar,18
"Arms Control, Verification and Compliance (AVC)",male,FS 8,Team Member,Robert Nighman,5
Legislative Affairs (H),female,N/A,Team Member,     Leslie Guarnieri,6
Energy Resources (ENR),male,GS13,Manager,  Eric Aguilar,11
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-3,Manager,Vanetta,22
Near Eastern Affairs (NEA),female,GS-7,Team Member,Sanchez,4
Human Resources (DGHR),male,FS 7,Team Member,Gary Lauer,14
Public Affairs (PA),female,N/A,Manager,Natalie Conway ,13
Mission to the United Nations (USUN),male,FS-1,Mgmt,Christopher Kurtz,7
Mission to the United Nations (USUN),male,FS 1,Manager,James Downing,2
Human Resources (DGHR),male,SFS-4,Executive,Patague,20
Legislative Affairs (H),male,GS-14,Manager,Randy Mckenna,3
Overseas Buildings Operations (OBO),female,FS-8,Team Member,Elizabeth Murray ,5
Energy Resources (ENR),male,N/A,Team Member, Ivan Garofalo,11
Foreign Assistance (F),male,GS13,Team Member,Gary Lepak,23
Oceans and International Environmental and Scientific Affairs(OES),male,GS15,Manager,    John Barajas,12
Counterterrorism (CT),female,FS 7,Team Member,Kristen Kilgallon ,3
Administration (A),male,N/A,Team Member,James Rodriquez     ,4
Trafficking in Persons (TIP),male,FS-2,Manager,Michael Miller,21
Foreign Missions (OFM),female,FS-7,Team Member, Richard Hebert,9
Administration (A),male,N/A,Team Member,Ricardo Hines   ,25
Legal Adviser (L),male,N/A,Manager,   Robert Johnson,17
Consular Affairs (CA),female,FS-7,Analyst,  Susan Guarnera,24
Oceans and International Environmental and Scientific Affairs(OES),male,FS-8,Team Member,    Todd Dun,18
East Asian and Pacific Affairs (EAP),female,GS-12,Team Member,Brookes,24
East Asian and Pacific Affairs (EAP),female,N/A,Team Member,Catherine Cook ,3
Policy Planning Staff (S/P),female,N/A,Manager,Alberta Casparian  ,17
Allowances (A/OPR/ALS),male,FS-4,Team Member,Wilton Boyers,24
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-9,Team Member, Stephens,22
Conflict and Stabilization Operations (CSO),female,GS-12,Team Member,   Amy Greene,4
Chief Information Officer (CIO),female,FS-2,Manager,   Christina Roberts,12
East Asian and Pacific Affairs (EAP),female,FS-1,Manager,Leslie Landes,3
Science & Technology Adviser (STAS),male,GS-13,Manager,Bowen,24
Oceans and International Environmental and Scientific Affairs(OES),male,N/A,Manager,     Daniel Qualls,20
Global Youth Issues (GYI),female,FS-6,Team Member,Cynthia Wilson,2
Administration (A),female,N/A,Team Member,   Rhonda Steedley,16
Intelligence and Research (INR),male,FS-5,Team Member,     Anthony Garrett,11
Protocol (S/CPR),male,GS-15,Manager,Joey Suen,11
Protocol (S/CPR),female,FS-4,Team Member,    Lorraine Neff,4
Science & Technology Adviser (STAS),male,FS-7,Team Member,Ball,9
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-1,Manager,Dennis Frank,19
Diplomatic Security (DS),male,GS-8,Analyst, Bryan Schultz  ,21
Budget and Planning (BP),female,FS-2,Manager,Melissa Cambre,16
"Democracy, Human Rights, and Labor (DRL)",male,FS-2,Manager,Kevin Class,13
Chief Information Officer (CIO),male,FS-5,Team Member,Jerome Dalton ,2
European and Eurasian Affairs (EUR),male,FS-7,Team Member,Theodore Madison,3
Legislative Affairs (H),male,GS 9,Team Member,Javier Waugh,6
Human Resources (DGHR),male,N/A,Team Member,Thomas Sampson,14
Educational and Cultural Affairs (ECA),female,GS-12,Team Member,Paula Yasutake,20
Executive Secretariat (S/ES),female,FS-7,Team Member,Carolyn Steele,1
Policy Planning Staff (S/P),male,GS-12,Team Member,Rodney Sanders,23
Medical Services (MED),female,FS-1,Manager,Janice Phillips,15
Legislative Affairs (H),female,FS-3,Manager,  Crystal Lancaster,14
Oceans and International Environmental and Scientific Affairs(OES),male,N/A,Manager,Johnson,21
Counterterrorism (CT),male,FS-4,Team Member, Forrest Terry,14
Legal Adviser (L),male,FS-6,Team Member,Santo Light  ,11
International Security and Nonproliferation (ISN),male,FS-8,Team Member,Edward Fischer,5
Foreign Missions (OFM),female,FS-9,Team Member,Kimberley Norris,20
International Organization Affairs (IO),male,FS-2,Manager,Elias Tucker,9
Administration (A),male,N/A,Manager,    Eric Wise,3
Legal Adviser (L),female,N/A,Manager,Colleen Mclelland,25
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Team Member,   Lillian Cleckler     ,1
"Democracy, Human Rights, and Labor (DRL)",male,FS-4,Analyst,Roy Monroe    ,24
Educational and Cultural Affairs (ECA),male,GS-8,Team Member,  Eric Perry,3
International Organization Affairs (IO),female,GS 14,Manager,Reba Elliott,16
Global Youth Issues (GYI),male,N/A,Team Member,Brewer  ,6
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-3,Manager,Jean Tooley,15
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-13,Team Member, Aaron Hall,5
Energy Resources (ENR),male,FS-2,Manager,Bruce Barton,6
Legal Adviser (L),female,FS-6,Team Member,    Shirley Cargo ,7
Quadrennial Diplomacy and Development Review (QDDR),male,FS-3,Manager,Daniel Stephen    ,6
Science & Technology Adviser (STAS),male,GS-14,Manager,Brian Mcmillan,12
Executive Secretariat (S/ES),female,N/A,Team Member,Amy Stark,12
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,Agnes Pettinato,7
Human Resources (DGHR),male,FS-4,Team Member,Robert Wolfman,1
Administration (A),female,GS 13,Team Member,   Henderson   ,1
Medical Services (MED),male,FS-2,Manager,Steven Baker,11
"Arms Control, Verification and Compliance (AVC)",male,FS-8,Team Member,Pierre Barrett,21
Intelligence and Research (INR),male,GS-7,Team Member,Bunch     ,9
International Organization Affairs (IO),female,FS-1,Manager,   Shirley Carmona    ,22
Protocol (S/CPR),female,N/A,Team Member,Karen Oneill,10
Administration (A),male,N/A,Team Member,  Eric Slaughter,24
Public Affairs (PA),male,FS-1,Manager,Huber,25
Science & Technology Adviser (STAS),female,FS-8,Team Member,   Debra Jenkins,3
International Organization Affairs (IO),female,GS-13,Team Member, Marie Hester,12
Medical Services (MED),male,GS 12,Team Member, Christopher Wilson ,12
Administration (A),male,N/A,Team Member,Miller  ,4
Consular Affairs (CA),male,GS11,Team Member,Morris     ,4
Medical Services (MED),male,FS3,Manager,   Robinson   ,3
Protocol (S/CPR),male,N/A,Team Member,Brian Jones,2
Trafficking in Persons (TIP),male,FS-5,Team Member,Donny Hamm   ,3
Inspector General (OIG),male,GS-9,Team Member,Benjamin Kauffman,22
Legislative Affairs (H),female,FS 4,Team Member,Lara,4
Mission to the United Nations (USUN),female,N/A,Team Member,Patricia Perez,17
European and Eurasian Affairs (EUR),male,GS-14,Manager,Thomas Bankston,9
Mission to the United Nations (USUN),female,FS2,Manager,Jewel Wamsley,23
Medical Services (MED),female,FS-5,Team Member,Antonia Richardson,19
Foreign Assistance (F),male,FS-2,Manager,Elmer Whipple,25
Oceans and International Environmental and Scientific Affairs(OES),male,FS-6,Team Member,Hector Reid ,3
International Narcotics and Law Enforcement Affairs (INL),female,GS-11,Team Member,    Sophie Orr,18
Inspector General (OIG),male,FS-2,Manager,Thomas Bak,15
Foreign Missions (OFM),female,N/A,Mgmt,    Billie Bryan,15
"Democracy, Human Rights, and Labor (DRL)",female,GS-8,Team Member,Helen Ordman,10
Trafficking in Persons (TIP),male,SFS-5,Executive,Ryan Allard,24
Inspector General (OIG),female,GS-13,Manager,Georgia Pennebaker  ,23
International Information Programs (IIP),female,FS-5,Team Member,Jones,24
Global Youth Issues (GYI),female,FS 5,Team Member,   Elena Hays,6
International Information Programs (IIP),female,GS-12,Team Member,    Margaret Hurdle     ,17
Budget and Planning (BP),female,FS-6,Team Member,Theresa Ratliff,12
Foreign Assistance (F),female,FS3,Manager,Laurel Slough    ,5
Diplomatic Security (DS),female,N/A,Manager,   Heather Chean   ,18
"Arms Control, Verification and Compliance (AVC)",male,GS-9,Team Member,Joshua Tucker     ,10
Educational and Cultural Affairs (ECA),male,FS6,Team Member,Steven Crandall   ,3
Comptroller and Global Financial Services (CGFS),male,N/A,Team Member,    Corey Howard,22
Global Youth Issues (GYI),female,FS-2,Manager,Barbara Whitley,11
Allowances (A/OPR/ALS),female,FS-9,Analyst,Colleen Berry,12
Oceans and International Environmental and Scientific Affairs(OES),male,GS-13,Manager,Andrew Lamothe,15
