Bureau,Gender,Grade,Name,Skills,YearsService
Science & Technology Adviser (STAS),male,N/A,Fortson,French,19
Allowances (A/OPR/ALS),female,FS-9,Charlotte Johnson    ,Management,6
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-7,Crystal Hale ,"Finance, Training, portuguese, Climatology, Social Media, SEO, Email, spanish, government, Japanese, IT, education",25
Allowances (A/OPR/ALS),male,N/A,Ouellette,"Writing, French, Marketing, Research",19
Comptroller and Global Financial Services (CGFS),female,FS-2,Lisa Fleming  ,"seo, IT, Interagency, Communications, Hydrology, Japanese, disease response",8
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Carl Nagle  ,"IT, portuguese, training, Graphics, Planning, Hydrology",18
Foreign Service Institute (FSI),male,N/A,  Thurman Rockwell,"French, Writing, powerpoint, German, Data Analysis, Excel, Outlook, Administration, Disease Response, education, Portuguese",23
Global Youth Issues (GYI),female,GS-9,Judith Macina,"planning, IT, communications, Engineering, training",2
"Population, Refugees, and Migration (PRM)",female,GS 14,Doris Akers,"network security, German, spanish, Hydrology, Government, Japanese, Email, climatology, Cloud Computing",20
Chief Information Officer (CIO),female,FS 9,Alicia Shipps,"Communications, Cloud Computing, Design, Education, Visualization, Editing, chinese, training, planning, Interagency, Foreign Policy",23
Policy Planning Staff (S/P),female,GS-11,Allison Ruic ,"Social Media, Leadership, Interagency, Climatology, Editing, Excel, Japanese",16
Medical Services (MED),male,FS-7,    John Wright ,"Excel, Visualization, Email, research, administration, it, Finance, communications, Disaster Response, Economics, Sharepoint, Web Development",20
"Arms Control, Verification and Compliance (AVC)",male,FS-3,  Francis Chapman,"Sharepoint, Finance, marketing, management, IT, Excel, Human Resources, Foreign Policy, french, Operations, Outlook, research",14
Global Criminal Justice (GCJ),female,GS-15,   Patricia Boudreaux,"web development, IT, leadership",25
"Arms Control, Verification and Compliance (AVC)",female,FS-7,Goodwin,Disaster Response,15
"Democracy, Human Rights, and Labor (DRL)",female,N/A, Jill Coffman ,"Editing, Disease Response, Training, Hydrology, Interagency, Japanese",11
Mission to the United Nations (USUN),female,FS-6,Jean Solano,"Editing, seo, Human Resources, government, Management, Disease Response",22
International Narcotics and Law Enforcement Affairs (INL),female,FS-3,Laura Sneed   ,"Writing, finance, Interagency, administration, SEO, German",4
Consular Affairs (CA),female,GS-15,Rose Guebert,"Powerpoint, Budget, SEO",22
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-12,Russell Berry,"Administration, Sharepoint, healthcare, Web Development, Planning, Interagency, Education",25
Counterterrorism (CT),female,FS-4,Deborah Collins    ,"Portuguese, Research, Sharepoint, Engineering",16
Trafficking in Persons (TIP),male,FS-8,Michael Shindle ,"Interagency, SEO",9
South and Central Asian Affairs (SCA),male,N/A,James Rupp,"Research, Outlook, Social Media, Graphics, Data Analysis",13
East Asian and Pacific Affairs (EAP),female,FS-7,Jo Davis,"Visualization, Leadership, Operations, Economics",2
European and Eurasian Affairs (EUR),male,FS-7,Dudley     ,"Operations, economics, it, Government, communications, Outlook, Writing, Engineering, Interagency",17
Science & Technology Adviser (STAS),male,FS-9,Kinnard,"Operations, Network Security, Excel, Disease Response",3
"Democracy, Human Rights, and Labor (DRL)",male,N/A, Craig Wagner    ,"Economics, Foreign Policy, IT, Japanese, French, Social Media, Marketing",15
Public Affairs (PA),female,GS-8,  Judith Favila,"Social Media, Outlook, Budget, Portuguese, Design",7
Global Youth Issues (GYI),female,SFS 2,Elizabeth Monat,"Economics, Climatology, Training, Chinese, Spanish, Social Media, Planning, Engineering",20
East Asian and Pacific Affairs (EAP),male,FS-4,Charles Morrison    ,"Research, Interagency, Spanish, Hydrology, Web Development, editing, Cloud Computing, German, Administration, Design, Leadership, Disaster Response",19
Allowances (A/OPR/ALS),female,N/A,   Christy Santiago   ,"disaster response, Leadership, Spanish, Education, Powerpoint, Government, healthcare, Chinese, email, Web Development, seo, Engineering",16
Global Engagement Center(GEC),male,FS-6,Kaczmarek,"leadership, Powerpoint",18
Global Criminal Justice (GCJ),female,N/A,Giglio,Data Analysis,11
Public Affairs (PA),male,FS-7,Kevin Flournoy,"Management, Visualization, seo, web development, german, Education, Network Security",13
Allowances (A/OPR/ALS),female,N/A,Debbie Hogarth     ,"chinese, Portuguese, Foreign Policy, human resources, Data Analysis, training, Administration, Excel, Hydrology, Government, Climatology, German",14
Political-Military Affairs (PM),male,N/A,Joshua Mclaughlin  ,"german, Engineering, budget, Design, Leadership, Marketing",18
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-3,Donald Alvarez,"Design, Chinese, Management, Climatology, seo, Disaster Response, Foreign Policy, Hydrology, Disease Response, Excel",18
Counterterrorism (CT),male,FS-7,Patrick Helms,,15
Quadrennial Diplomacy and Development Review (QDDR),female,N/A,     Tiffany Barnes,"Powerpoint, Engineering, Training, French, web development, Tourism, IT, SEO, german, writing",6
East Asian and Pacific Affairs (EAP),female,FS-6,  Carla Hall,"Marketing, Excel, portuguese, Powerpoint, Sharepoint, Human Resources, Visualization, Interagency, Communications, Economics, Social Media, Engineering",12
Foreign Assistance (F),male,FS-4,    Katowicz,"Spanish, Chinese",8
International Narcotics and Law Enforcement Affairs (INL),female,FS-7,Carolyn Raymond     ,,1
Overseas Buildings Operations (OBO),male,N/A,Douglas Estorga,"Planning, Disaster Response, Budget, Tourism, Climatology, Email, Economics",15
Global Engagement Center(GEC),female,SES-1,Groulx,"Economics, Engineering, research, Administration, Outlook, Management, Budget, Cloud Computing, seo",25
Comptroller and Global Financial Services (CGFS),male,FS-5,David Jolissaint   ,"sharepoint, Leadership, Foreign Policy, Management",8
Foreign Service Institute (FSI),male,GS-15,   Earl Curry     ,"Marketing, spanish, SEO, Sharepoint",21
Educational and Cultural Affairs (ECA),male,FS6,     Don Howard ,"Administration, Portuguese, Writing, Healthcare, French, Interagency, Operations, spanish, Research, cloud computing, Human Resources",1
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,FS9,Amy Wilson,"Human Resources, Writing",3
Budget and Planning (BP),male,GS-9,Jessie Vedder    ,"French, Web Development, German, Finance, Marketing, design",12
Global AIDS Coordinator (S/GAC),male,GS-15, Chad Bentz,"portuguese, Email, Tourism, Economics, German, IT, French, Marketing, Network Security, Social Media, Government",21
"Arms Control, Verification and Compliance (AVC)",female,N/A,Betty Eicher,editing,18
Global Women's Issues (S/GWI),male,GS 14,    Holifield,,19
International Security and Nonproliferation (ISN),female,GS-9,     Rhudy,"budget, Chinese, Portuguese, Writing, Web Development, Engineering, graphics, Training, Outlook, Management, Powerpoint",6
Inspector General (OIG),female,N/A,Allison Fansler   ,"IT, Economics, Government, Climatology, Spanish, Management, Tourism",11
Overseas Buildings Operations (OBO),female,GS-8,Michelle Garcia ,"Cloud Computing, Government, French, Finance",8
Political-Military Affairs (PM),female,SFS-2,Margarita Green,,25
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-7,Timothy Roeber,Finance,23
Oceans and International Environmental and Scientific Affairs(OES),female,GS-15,   Jessica Forrest,"interagency, Network Security, Editing, Foreign Policy, Tourism, finance",17
Legislative Affairs (H),female,N/A,  Jeanna Vreeland    ,"Human Resources, Economics",6
Foreign Missions (OFM),female,GS-12,Susan Ring   ,,15
Conflict and Stabilization Operations (CSO),female,N/A,Denise Rangel,Writing,22
Consular Affairs (CA),male,N/A,Wilfred Price    ,,19
Foreign Missions (OFM),female,FS-6,   Francisca Price     ,"Social Media, leadership, Human Resources, Management, chinese, Administration, Email",19
Policy Planning Staff (S/P),female,N/A,Stephanie Morris    ,Finance,18
Science & Technology Adviser (STAS),female,N/A,Candace Sanders,Engineering,24
Foreign Assistance (F),female,FS-8,Maye Blankenship,"Economics, Education, Hydrology, Email, administration, Tourism, Powerpoint, Training, Web Development, human resources, Government, Interagency",4
Foreign Assistance (F),female,N/A,Grace Medlar ,"Visualization, Planning, communications, German, Leadership, data analysis, outlook, SEO, Human Resources, Editing, Hydrology",15
"Democracy, Human Rights, and Labor (DRL)",female,FS-9,Holmes,,21
Counterterrorism (CT),male,FS-6,   Emmett Grant,"Operations, Japanese, Training, powerpoint, engineering, Network Security",13
International Narcotics and Law Enforcement Affairs (INL),male,N/A,  Erik Mullen,"powerpoint, Spanish, data analysis, Foreign Policy, Email, Editing, Chinese, Government",11
Budget and Planning (BP),female,FS-5,Martha Long,"sharepoint, Web Development, Japanese",21
Foreign Service Institute (FSI),female,GS-7,Joanne Grant,"Portuguese, Research, Excel, Visualization, engineering, Training, government, Japanese, German, Climatology",25
Human Resources (DGHR),male,FS-2,Henry Mosqueda,,17
International Information Programs (IIP),female,GS 15,Tara Inglis  ,"powerpoint, Disease Response, Planning, cloud computing",22
Science & Technology Adviser (STAS),female,N/A,Linda Collins,"communications, Foreign Policy, French, Training",2
Trafficking in Persons (TIP),female,FS-7,Maria Vandestreek,"Research, Hydrology, web development",13
Allowances (A/OPR/ALS),male,GS-15,Seay    ,"seo, Education, Social Media, Communications, Government, budget, Cloud Computing, French, Graphics, it, Chinese",2
Global AIDS Coordinator (S/GAC),female,FS 5,     Sondra Wagner   ,,10
Policy Planning Staff (S/P),female,N/A,Paula Tappin,"Tourism, Portuguese",12
Global Women's Issues (S/GWI),male,GS-13,Pat Knoll  ,,1
"Arms Control, Verification and Compliance (AVC)",female,GS-9,Vickie Morgan,"foreign policy, Research, Graphics, German, Communications, Powerpoint",24
Energy Resources (ENR),female,GS-15,Jenkins,"Research, tourism, writing, Design, Budget, marketing",3
Western Hemisphere Affairs (WHA),female,FS-4,     Arlyne Rossbach  ,"Operations, disease response, Administration, Finance, Visualization, Economics, Powerpoint",10
Overseas Buildings Operations (OBO),male,FS-5,Matt King,"tourism, Government, Administration, Graphics, Writing, Leadership, Disaster Response",8
Educational and Cultural Affairs (ECA),male,GS-13,   Ronald Rice,"marketing, Disease Response, Tourism, Excel, Graphics, Design, IT, sharepoint",24
European and Eurasian Affairs (EUR),male,GS-15,Santiago Barnes ,"social media, Email, Training, management, French, Government, Research, Education, Cloud Computing, Marketing, Sharepoint",6
Information Resource Management (IRM),male,FS8,Howard Satterwhite,"Education, Training, Marketing",21
African Affairs (AF),female,FS 8,  Shandra Hernandez    ,"Graphics, portuguese, data analysis, Marketing, Human Resources, Administration, engineering, Management",22
Human Resources (DGHR),male,GS-12,   John Farmer ,"Tourism, marketing, Design, Operations, Research, Portuguese, Spanish, powerpoint, government",5
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,GS-9,John Olivera    ,"hydrology, Data Analysis, Network Security, Budget, IT, SEO, Chinese",8
International Information Programs (IIP),female,N/A,Stephanie Douglas,"Email, planning, Excel, Interagency, foreign policy, Disaster Response, hydrology, Outlook, German",1
Global Criminal Justice (GCJ),female,N/A,Smith,"Disease Response, Operations, Finance, Japanese, Leadership, Budget, Excel, German, graphics, Disaster Response, Writing, Climatology",13
Global Engagement Center(GEC),female,N/A,Natasha Hockenberry,"Government, Excel, Human Resources, Sharepoint, Powerpoint, Design",20
International Security and Nonproliferation (ISN),female,GS-15,Timinsky,"Writing, Research, French, Economics",13
"Management Policy, Rightsizing and Innovation (PRI)",female,FS-2,Darlene Vascocu,"German, cloud computing, Budget, Japanese",25
"Population, Refugees, and Migration (PRM)",female,GS9,Rosario Burke  ,"Japanese, Email, it, French, human resources",4
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Wiley,"budget, outlook, Administration, Disease Response, German, Training",15
Foreign Service Institute (FSI),male,FS-2,Victor Chancellor    ,"Email, Operations, Spanish, Planning, excel, Chinese, Leadership, SEO, Training, Writing, IT",5
Intelligence and Research (INR),male,GS 7,William Coop,"Management, Engineering, foreign policy, Tourism, german",7
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-6,Danny Aguinaldo     ,"Cloud Computing, social media, Planning, Writing, Marketing, interagency",17
Policy Planning Staff (S/P),female,SES-2,Mary Hanson,"Leadership, Disaster Response, Finance",18
Inspector General (OIG),male,N/A,Shaun Johnson,web development,12
South and Central Asian Affairs (SCA),female,FS-9,Patricia Malone ,"Engineering, Visualization, Budget, Data Analysis, Network Security, Marketing, french, social media, SEO",20
East Asian and Pacific Affairs (EAP),male,GS-10,  Joseph Borst,"Outlook, Training, email, Excel, Web Development, German, Leadership, engineering, Management",9
Inspector General (OIG),male,FS-9,Jason Lovelady,"Research, Disease Response, network security, Disaster Response, finance, Spanish, excel, Engineering, Visualization",17
East Asian and Pacific Affairs (EAP),female,N/A,   Bernice Gilbert,,25
Trafficking in Persons (TIP),female,FS-9,Frances Wal     ,"Engineering, foreign policy",1
Budget and Planning (BP),male,FS-5,Henry Morin    ,"sharepoint, Outlook, japanese, engineering, Disaster Response, Chinese, Government, finance",16
Counterterrorism (CT),female,GS-8,    Mary Hacker,"leadership, budget, Marketing, Hydrology, Portuguese",15
Legal Adviser (L),female,GS 15,Emilie Voorhees,"SEO, Design, healthcare",2
International Security and Nonproliferation (ISN),male,GS 11,Donald Chilson,"Cloud Computing, french, Operations, Administration, it",7
Foreign Assistance (F),male,GS-7,Thomas Holsapple  ,"Graphics, Finance, visualization, Data Analysis, Planning, Spanish, Design, healthcare, Web Development",16
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,     Helen Thomas     ,"Design, Disaster Response, Training, Foreign Policy, marketing, Climatology, Excel, Hydrology, it, tourism",11
Inspector General (OIG),male,FS-8,Beaufort   ,"editing, Training",24
International Information Programs (IIP),female,N/A,Debra Lilley    ,"Writing, email, Research, editing, Network Security, Web Development, French",1
International Information Programs (IIP),male,N/A,Jim Greer,"Disease Response, Marketing, Administration, Communications, budget",19
Trafficking in Persons (TIP),female,GS-11,Teresa Anderson,"Graphics, disease response, SEO, Editing",10
East Asian and Pacific Affairs (EAP),female,N/A,   Josephine Killian,"Budget, Human Resources, Healthcare, data analysis, Leadership, portuguese, Marketing",11
Chief Information Officer (CIO),female,GS-11,Willie Hart,"IT, Editing, sharepoint, Engineering, Operations, Disease Response, Cloud Computing, Research, SEO, Training, Management, chinese",16
Human Resources (DGHR),female,FS-8,Kathryn Cottone,"Government, Spanish, Human Resources, Leadership, Engineering, Sharepoint, Tourism",7
"Arms Control, Verification and Compliance (AVC)",female,GS-14,Richard,Healthcare,22
Overseas Buildings Operations (OBO),female,N/A,    Anna Sheppard,"SEO, Email, Japanese, climatology, Communications",5
"Population, Refugees, and Migration (PRM)",female,N/A,Johnson     ,hydrology,14
International Organization Affairs (IO),male,FS-5,Robert Fortson,"Social Media, Government, Design, it, Visualization",1
Economic and Business Affairs (EB),male,FS-2,Oliver,"research, Operations, Social Media, Finance, it, Economics, Administration",14
Global Youth Issues (GYI),male,GS-13,Carmen Hong,"Graphics, Healthcare, economics, data analysis, writing, Foreign Policy, Editing, SEO, Network Security, Email, chinese",13
Intelligence and Research (INR),male,FS-7,   Michael Rafferty,,20
Global Women's Issues (S/GWI),female,GS-12,Kinney,"Editing, engineering, French, Climatology, Research, Cloud Computing, Operations, Budget",20
South and Central Asian Affairs (SCA),male,FS-4,Allen Patterson    ,"German, Writing, Foreign Policy, powerpoint, marketing, excel, tourism, editing, Outlook",9
Global Youth Issues (GYI),male,N/A,Lloyd Pryor  ,"Leadership, email, french, Cloud Computing",22
Diplomatic Security (DS),female,GS-12,Elizabeth Bell ,"foreign policy, operations, Social Media, Communications, Planning, Tourism, hydrology, visualization, education, Email",7
Legislative Affairs (H),male,FS-7,Thomas Davis    ,"Disease Response, budget, IT, Climatology, Interagency, Administration",19
Comptroller and Global Financial Services (CGFS),male,N/A,Rafael Bachman,"SEO, administration, Disaster Response, Operations, German, hydrology, communications, interagency, Climatology",24
Western Hemisphere Affairs (WHA),female,FS-3,Elizabeth Shuster,"Administration, Chinese, Engineering, Cloud Computing",2
International Security and Nonproliferation (ISN),male,FS-3,Bonner,"Email, Editing",7
Information Resource Management (IRM),male,N/A, David White  ,"Editing, hydrology, Disease Response",10
Counterterrorism (CT),female,FS-5, Tuggle,"Foreign Policy, IT",24
Foreign Service Institute (FSI),male,FS-4,   Joseph Free,"Hydrology, Outlook, Powerpoint, Excel, Budget, engineering, Climatology, Network Security, Email",15
Western Hemisphere Affairs (WHA),female,N/A,Baxter,"Portuguese, Excel",15
European and Eurasian Affairs (EUR),male,N/A,Timothy Johnson,"Powerpoint, planning, human resources",9
Educational and Cultural Affairs (ECA),male,N/A,Jayson Gearhart,"IT, Training, Cloud Computing, Climatology, Excel, Sharepoint, Education, Budget, Human Resources, Administration, seo, French",6
Consular Affairs (CA),female,N/A,Mariana Pennington  ,Administration,24
Western Hemisphere Affairs (WHA),female,N/A,Johnnie Dorsey,"Disease Response, Foreign Policy, Portuguese, SEO, spanish, disaster response, Web Development",11
Foreign Assistance (F),male,FS-4,  Oliver Cash,"Operations, Healthcare, spanish, social media, chinese, Japanese",3
Human Resources (DGHR),female,N/A,Irma Searcy,"German, Writing, Network Security, Research, Finance, Visualization, education, Excel, Healthcare, management, Disaster Response",5
Foreign Missions (OFM),female,N/A,   Casteel  ,"Chinese, Finance, it, Powerpoint, Disease Response",4
Counterterrorism (CT),male,GS-10,Douglas Root,"finance, Administration, Climatology, hydrology, Graphics",13
Educational and Cultural Affairs (ECA),male,N/A,   Robert Whittaker,"Research, Marketing, Hydrology, Sharepoint, social media, Editing, IT, operations, Graphics, Finance",12
Global Engagement Center(GEC),male,N/A, Gerald Rodriguez    ,french,22
International Narcotics and Law Enforcement Affairs (INL),female,GS-11, Janice Orzell,"Social Media, Design, Training, Healthcare, Climatology, Editing, IT, portuguese, Data Analysis, Budget",17
"Management Policy, Rightsizing and Innovation (PRI)",female,N/A,Sarah Garrett,"Outlook, Editing, Foreign Policy, Research, Network Security",17
Global Criminal Justice (GCJ),female,GS-10,Virginia Whitfield,"Management, Education, Administration",21
Legal Adviser (L),male,GS-11,     Eddie Alas  ,"Management, Japanese, Disaster Response, budget, French, Planning, Portuguese, seo, Hydrology",12
Medical Services (MED),female,FS-7,Marie Cable,,22
Medical Services (MED),male,SFS-5,Lionel Howard,,24
Foreign Missions (OFM),male,GS-7,Jenkins     ,"Portuguese, communications, Tourism",25
Quadrennial Diplomacy and Development Review (QDDR),male,N/A,  Tom Russell ,"foreign policy, French, Disease Response, education, Social Media",13
Inspector General (OIG),female,FS-5,  Theresa Wooten  ,"sharepoint, Hydrology, Disease Response, Economics",24
Oceans and International Environmental and Scientific Affairs(OES),female,GS-11,  Cho  ,Japanese,16
Science & Technology Adviser (STAS),male,N/A,Jerome Kyser,"Excel, communications, SEO, Interagency, Disease Response, Portuguese, foreign policy, Disaster Response, Climatology, Design, engineering",9
Human Resources (DGHR),male,GS10,Mitchell Williams,"Writing, Leadership, Engineering, Portuguese, Disaster Response",20
Quadrennial Diplomacy and Development Review (QDDR),female,FS-1,Patricia Smith   ,"social media, japanese, Tourism, german, Disease Response, visualization",25
African Affairs (AF),male,N/A,Thomas Hanson,IT,21
Foreign Assistance (F),female,FS-4,Luella Rivera,,1
Executive Secretariat (S/ES),female,SES 2,Kim Ragan   ,"Education, Climatology, Engineering, Disaster Response, Economics, seo, Outlook, Tourism",19
International Information Programs (IIP),male,FS-8,Barry Davis,"Spanish, SEO, economics, Operations, foreign policy, Powerpoint, Education, Network Security, Interagency",20
Protocol (S/CPR),male,GS-14,Richard Monroe     ,"Sharepoint, Economics, Tourism, Web Development, japanese, Graphics, hydrology, Writing",21
Quadrennial Diplomacy and Development Review (QDDR),male,FS-4,Mauro Lucas,"Graphics, Training, operations, Education, French, Budget, Finance, Powerpoint, Sharepoint, Outlook",1
Near Eastern Affairs (NEA),male,N/A,David Devine,"it, sharepoint, social media, design, French, Marketing, Japanese, Interagency, graphics, Human Resources, Tourism, German",23
Executive Secretariat (S/ES),female,FS-5,Lauren Hester    ,"Web Development, Disaster Response, Social Media, german, Economics, French, Network Security, Portuguese, Powerpoint, Training, Administration, japanese",23
Economic and Business Affairs (EB),male,GS-12, Ullman,"French, Marketing, portuguese, government, Leadership, Disaster Response, Excel, chinese, Cloud Computing, visualization, Human Resources, Sharepoint",1
International Security and Nonproliferation (ISN),female,N/A,    Myrtle Jenkins,"Marketing, Healthcare, portuguese",6
Trafficking in Persons (TIP),female,FS-6,Christine Garcia,"powerpoint, Visualization, Economics, japanese, Writing, SEO, hydrology, administration, Marketing",20
Political-Military Affairs (PM),male,FS-9,Joseph Mackey,"data analysis, Budget, Web Development, Excel, Hydrology, seo, Finance, German, french",5
Legislative Affairs (H),male,GS-15,   John Smith    ,"foreign policy, German, Powerpoint, Editing, Hydrology, disease response, Engineering, japanese",11
Consular Affairs (CA),female,N/A,Virginia Honeycutt ,"Tourism, Finance, hydrology, Healthcare",8
Budget and Planning (BP),female,GS-11,Cheryl Ohara,"Hydrology, engineering",16
Educational and Cultural Affairs (ECA),male,FS2,     Jeremy Bales,"management, Outlook, Research, Social Media, Japanese, Disease Response, Email",7
Mission to the United Nations (USUN),male,FS-8,     David Tweed,,22
East Asian and Pacific Affairs (EAP),male,GS-7,  Gregory Henry,"Data Analysis, email, Graphics, Powerpoint, Web Development, japanese, Research, tourism, engineering, it, communications",25
Mission to the United Nations (USUN),female,FS-2,Patti Shaffer ,"Foreign Policy, disaster response, Healthcare, Research, spanish, graphics, tourism, Sharepoint, Disease Response, Portuguese",3
Diplomatic Security (DS),female,FS-2,Merry Morales   ,,2
Information Resource Management (IRM),female,GS-14,Edna Spearman,"powerpoint, Marketing, Disaster Response, Japanese, Visualization, Social Media, Human Resources, Excel, Finance, Design, Training",16
Allowances (A/OPR/ALS),female,FS-5, Janice Dominguez  ,"writing, Tourism, Cloud Computing, portuguese, Foreign Policy, Powerpoint, Data Analysis",11
Policy Planning Staff (S/P),male,SFS-3, Patrick Heald,"marketing, Climatology, leadership, education, Design",21
Protocol (S/CPR),male,FS 5,Alfred Mcclellan,"Disease Response, Powerpoint, Engineering, Outlook, Design, Administration, tourism, graphics",10
Trafficking in Persons (TIP),female,FS-9,Irene Pace,"Excel, disease response, Marketing",6
Conflict and Stabilization Operations (CSO),male,N/A, Gene Herrera,"Disease Response, sharepoint, Chinese, engineering, Economics, communications, Writing, German",6
Foreign Assistance (F),male,FS-9,Kelly Duerr,"sharepoint, Administration, Design, Communications",12
Mission to the United Nations (USUN),female,N/A,Lynette Maes,"Communications, Sharepoint",14
Administration (A),female,GS 15,Cathy Barbian  ,"Planning, Economics, Operations, Engineering, Human Resources, Tourism, Budget, Network Security, Interagency",8
Near Eastern Affairs (NEA),male,GS-15,   William Levings,"Editing, Chinese, Administration, Network Security, education, IT, Disaster Response, Visualization",24
"Arms Control, Verification and Compliance (AVC)",female,N/A,Lakeisha Sheller   ,"Data Analysis, Hydrology, Training, French, disaster response, Spanish, Powerpoint, engineering, SEO, operations, Excel, visualization",3
Protocol (S/CPR),female,N/A, Gladys Kirkland ,"data analysis, management, Economics, Budget, Foreign Policy, german, Japanese, Network Security, Writing, Visualization, Climatology",18
Comptroller and Global Financial Services (CGFS),male,N/A,Harry Wood ,"it, Web Development, Government, climatology, Interagency, outlook",9
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,N/A,Viola Kyle,"Communications, French, Finance, Leadership, Data Analysis, Climatology, Sharepoint, Visualization, Engineering",4
Science & Technology Adviser (STAS),male,FS-4,James Chou,"Budget, Economics",20
Executive Secretariat (S/ES),female,GS-8,Joanne Zweifel   ,"Budget, Training, Email, Finance, Spanish, editing, Disaster Response",23
Global AIDS Coordinator (S/GAC),male,N/A, Andrew Perez,"Healthcare, Data Analysis, Engineering, Economics, Hydrology",16
Political-Military Affairs (PM),male,GS-14,John Smith,"Economics, Design, Planning, human resources, Climatology, SEO, Graphics, Sharepoint, Excel",16
Near Eastern Affairs (NEA),female,N/A,Deborah Briseno   ,"Outlook, Disaster Response, Interagency, editing, Government",21
International Narcotics and Law Enforcement Affairs (INL),male,GS-12,William Murray    ,"Human Resources, Email, Economics, Graphics, Management, Hydrology, Data Analysis, Marketing, Disease Response, education",24
Medical Services (MED),female,GS-7,Ruth Bailey  ,"Economics, web development, Powerpoint, Design, Network Security",11
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,FS2,Chan ,"sharepoint, Foreign Policy, Design, IT, Administration",20
Foreign Missions (OFM),female,FS-6, Megan Williams  ,"Design, Disaster Response, Web Development, Spanish, Cloud Computing, outlook, marketing, Social Media, Administration",14
Global Engagement Center(GEC),male,SES-2,  Donald Pounds,"sharepoint, interagency, Cloud Computing, Data Analysis, Climatology, Visualization, Portuguese, Outlook, social media, Writing",18
Budget and Planning (BP),male,GS15,Kang,"research, engineering, SEO, excel, Healthcare, Foreign Policy, Disaster Response, Japanese, Leadership, Sharepoint, Graphics",10
Consular Affairs (CA),female,FS-2,Lisa Mueller,"network security, Chinese, Japanese, Leadership, Communications, sharepoint, design, human resources, Operations",21
Legislative Affairs (H),male,FS-6,John Epperly ,"graphics, web development, Excel, Healthcare, Administration, social media, sharepoint, IT, Economics, Email",5
Comptroller and Global Financial Services (CGFS),female,N/A,Joanne Beckman,"Disaster Response, marketing, German, tourism",12
Economic and Business Affairs (EB),male,FS-7,  Lee Killian,"Leadership, Japanese, Research, German",2
"Arms Control, Verification and Compliance (AVC)",female,N/A, Elizabeth Mcclure     ,"graphics, Operations, Social Media, Powerpoint, Visualization, portuguese, research, Interagency, Education, Data Analysis, Healthcare, Leadership",22
Oceans and International Environmental and Scientific Affairs(OES),male,GS-15,Nathaniel Marsh,"spanish, editing, Management, Visualization, chinese, Budget",20
International Organization Affairs (IO),female,FS-9,Dolores Lundsford,"Hydrology, IT, Interagency, Leadership, Network Security",5
Global Women's Issues (S/GWI),female,FS-7,  Sonja Gallegos,"SEO, Engineering, outlook, Leadership, Social Media, Web Development",12
"Management Policy, Rightsizing and Innovation (PRI)",female,FS-7,Mary Keala,"Marketing, Administration, visualization, Data Analysis, Spanish",6
Foreign Service Institute (FSI),female,N/A,    Dora Johnson,"Network Security, Interagency, Engineering, Disease Response, Social Media",9
Overseas Buildings Operations (OBO),female,N/A,Michael Wetmore,"Government, French",9
Overseas Buildings Operations (OBO),female,GS-15,     Wilma Liu,"Writing, Budget, Cloud Computing, disaster response, Government, social media",24
Trafficking in Persons (TIP),female,GS12,Suzanne Fecteau ,"spanish, Climatology, Education, Outlook, Government, planning, SEO",12
Overseas Buildings Operations (OBO),male,FS-2,  Stephens    ,"french, Climatology",8
Consular Affairs (CA),female,FS-9,Mary Scavuzzo,Marketing,10
South and Central Asian Affairs (SCA),female,GS-9,Hermelinda Williams,"Tourism, Finance, Writing, Communications, Cloud Computing, Japanese",2
International Organization Affairs (IO),female,GS-11,    Dana Watts,"Disaster Response, portuguese, Writing, sharepoint, Editing, tourism",19
Western Hemisphere Affairs (WHA),male,GS-13,Dennis Madden,"Training, sharepoint, SEO, IT, powerpoint, Data Analysis, Disaster Response, german, Visualization, Leadership, Foreign Policy",1
South and Central Asian Affairs (SCA),male,FS-4,John Cox,"spanish, Graphics, Cloud Computing, education, management, Outlook, excel",15
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,SES-3,Raymond Stangle,"Government, Design, Budget, engineering, Web Development, powerpoint, Operations, Planning",25
African Affairs (AF),male,FS-5,James Johnson,,24
Western Hemisphere Affairs (WHA),female,GS-8, Michelle Graves     ,"Tourism, communications, design",22
Intelligence and Research (INR),female,N/A,Burgess,"Tourism, Education, Hydrology, SEO, Finance, Visualization, Disaster Response, Economics, outlook, Government, French, Foreign Policy",18
Protocol (S/CPR),female,FS-9,Shawna Dorschner   ,Foreign Policy,14
Educational and Cultural Affairs (ECA),female,N/A,Rhonda Poole,"Research, Graphics, Economics, Government, leadership, Powerpoint, french, design, Training, education, it, Management",21
